restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address,is_open
The Three Dragons,Delivery,3.3,5,400.0,No,No,Chinese,Electronic City,Electronic City,Yes
The Tiffin Express,Quick Bites,2.6,16,250.0,No,No,South Indian,Koramangala 4th Block,Koramangala 4th Block,Yes
The Timber Times Cafe,Cafe,3.2,4,,No,No,Cafe,Malleshwaram,Malleshwaram,Yes
The Tiny Taproom,"Bar, Casual Dining",2.8,40,800.0,No,No,"South Indian, North Indian, Chinese, Thai",Indiranagar,Indiranagar,Yes
The Tower Of Pizza,Quick Bites,2.9,16,500.0,No,No,"Pizza, Italian","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Yes
The Trundle,Casual Dining,3.7,133,700.0,Yes,No,"Chinese, Thai, Continental, North Indian",Banashankari,Jayanagar,Yes
The Tucck Box,Quick Bites,3.4,7,300.0,No,No,"Chinese, South Indian",JP Nagar,JP Nagar,Yes
The Twenty Handmade Chocolates,Confectionery,3.8,30,300.0,Yes,No,Desserts,HSR,HSR,Yes
The Twisted Desi,Casual Dining,2.8,40,1000.0,Yes,Yes,"Continental, Italian, North Indian, Chinese",Frazer Town,Indiranagar,Yes
The Underground Gastropub,Pub,3.0,37,1000.0,No,No,Finger Food,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Yes
The Underpass Pub & Grub,"Pub, Casual Dining",4.0,720,1500.0,No,Yes,"Finger Food, Continental, North Indian, Chinese",JP Nagar,JP Nagar,Yes
The Upper Deck - Raaj Residency,Casual Dining,3.6,35,800.0,Yes,No,"North Indian, Chinese",Basavanagudi,Basavanagudi,Yes
The Urban Roof,Casual Dining,3.6,80,800.0,Yes,No,"Italian, Chinese, Continental",Kammanahalli,Kalyan Nagar,Yes
The US Burger,Quick Bites,3.0,13,150.0,No,No,Fast Food,Electronic City,Electronic City,Yes
The Vacationer's Cafe,Cafe,4.1,306,600.0,Yes,No,"Cafe, Continental, Mexican","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Yes
The Vape,Casual Dining,4.0,600,800.0,Yes,No,"Asian, Beverages",Bellandur,HSR,Yes
The Velu's,Kiosk,3.6,12,200.0,No,No,"Fast Food, Chinese",Indiranagar,Domlur,Yes
The Village Hotel,Quick Bites,3.5,14,450.0,Yes,No,Kerala,"Byresandra,Tavarekere,Madiwala",HSR,Yes
The Village Restaurant,Quick Bites,3.0,9,200.0,No,No,"North Indian, Chinese",Whitefield,Whitefield,Yes
The Vintage Cafe,Cafe,3.0,62,400.0,Yes,No,"Cafe, French, North Indian",Banashankari,Banashankari,Yes
The Waffcake Legacy,Dessert Parlor,4.0,167,350.0,Yes,No,"Desserts, Street Food, Sandwich, Beverages",Brookefield,Marathahalli,Yes
