restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address,is_open
Arya Bhavan Sweets,Sweet Shop,3.2,6,300.0,No,No,"Mithai, Street Food, North Indian",Brigade Road,MG Road,Yes
Arya Hungry?,Quick Bites,4.3,277,450.0,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Yes
Arya Vysya Refreshment,Quick Bites,,40,100.0,No,No,South Indian,Basavanagudi,Basavanagudi,Yes
Aryan's Kitchen,Quick Bites,3.1,97,500.0,Yes,No,"North Indian, Fast Food",Whitefield,Whitefield,Yes
Arzak,"Takeaway, Delivery",2.8,40,300.0,No,No,"Arabian, Middle Eastern, Rolls, Seafood, BBQ",Electronic City,Electronic City,Yes
As On Fire,Food Truck,3.4,41,400.0,Yes,No,"Pizza, Fast Food, BBQ",Jayanagar,South Bangalore,Yes
Asaivam Restaurant,Casual Dining,4.0,69,750.0,Yes,No,"Chettinad, South Indian",Frazer Town,Indiranagar,Yes
Ascharya Hotel,Quick Bites,3.3,10,300.0,Yes,No,"Mangalorean, South Indian",Basavanagudi,Koramangala 5th Block,Yes
ASEAN - On The Edge,Casual Dining,4.4,861,1800.0,Yes,Yes,"Asian, Thai",Brigade Road,MG Road,Yes
Asgardian Moreover Chai,Quick Bites,2.8,40,300.0,No,No,"Fast Food, Rolls, Juices","Byresandra,Tavarekere,Madiwala",BTM,Yes
Asha Food Camp,Casual Dining,4.0,137,700.0,No,Yes,"Desserts, North Indian, Chinese",Rajajinagar,Rajajinagar,Yes
Asha Sweets Center,"Sweet Shop, Quick Bites",4.1,57,200.0,Yes,No,"Mithai, Street Food",Indiranagar,Indiranagar,Yes
Asha Sweets Centre,Dessert Parlor,3.6,27,250.0,Yes,No,Fast Food,Banashankari,Basavanagudi,Yes
Asha Tiffins,Quick Bites,4.3,278,150.0,Yes,No,South Indian,"Byresandra,Tavarekere,Madiwala",HSR,Yes
Asharfilal,Dessert Parlor,3.5,10,150.0,Yes,No,Desserts,Bannerghatta Road,Bannerghatta Road,Yes
Ashirvaad Grand,Quick Bites,4.0,113,400.0,Yes,No,"Chinese, North Indian, South Indian","Byresandra,Tavarekere,Madiwala",BTM,Yes
Ashirvad Resturant,Quick Bites,3.2,7,300.0,No,No,"North Indian, Chinese",Marathahalli,Marathahalli,Yes
Ashirvad Veg,Quick Bites,3.4,9,300.0,No,No,South Indian,Brookefield,Marathahalli,Yes
Asia Alive - DoubleTree Suites By Hilton,Fine Dining,4.1,237,2000.0,No,Yes,"Continental, Thai, Malaysian, Burmese, Korean, Vietnamese, Chinese, North Indian",Bellandur,Sarjapur Road,Yes
Asia In A Box,Casual Dining,2.9,18,550.0,Yes,No,"Thai, Vietnamese, Indonesian, Asian",Kammanahalli,Kammanahalli,Yes
Asia Kitchen By Mainland China,"Casual Dining, Bar",4.9,2178,1500.0,Yes,Yes,"Asian, Chinese, Thai, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Yes
ASIA SEVEN,Food Court,3.3,4,300.0,Yes,No,Chinese,Whitefield,Whitefield,Yes
Assi Tussi Lassi,Beverage Shop,3.6,25,200.0,Yes,No,"Beverages, Fast Food, Ice Cream",Indiranagar,Ejipura,Yes
At North Parontha Hut,Quick Bites,2.8,40,200.0,No,No,North Indian,Brookefield,Whitefield,Yes
Athithi,Casual Dining,2.8,80,650.0,No,No,"Andhra, Biryani, Chinese, North Indian",Bannerghatta Road,Bannerghatta Road,Yes
Athithi Grand Restaurant,Casual Dining,3.0,74,700.0,Yes,No,"Andhra, North Indian, Chinese",JP Nagar,Kanakapura Road,Yes
Atithi,Casual Dining,3.7,18,750.0,No,No,North Indian,Malleshwaram,Rajajinagar,Yes
Atithi Aharadhama,Quick Bites,3.2,4,200.0,No,No,South Indian,Sarjapur Road,Sarjapur Road,Yes
Atithi Aramane Veg,Quick Bites,3.9,48,300.0,Yes,No,"South Indian, North Indian, Chinese",Bellandur,Bellandur,Yes
Atithi Biryani Corner,Quick Bites,3.3,4,200.0,Yes,No,"Biryani, South Indian",Bannerghatta Road,JP Nagar,Yes
Atithi Family Bar & Restaurant,"Casual Dining, Bar",3.6,31,500.0,Yes,No,"North Indian, South Indian, Andhra",Bellandur,Bellandur,Yes
Atithi Grand Veg Hotel,Quick Bites,2.8,40,300.0,No,No,South Indian,Bellandur,Sarjapur Road,Yes
Atithi Point Ande Ka Funda,Quick Bites,3.1,29,150.0,No,No,North Indian,Banashankari,Banashankari,Yes
Atithi Sambrama,Quick Bites,3.9,69,200.0,Yes,No,"South Indian, North Indian, Chinese",Bellandur,Sarjapur Road,Yes
Atithi Satkaar,Quick Bites,3.2,8,150.0,No,No,South Indian,Lavelle Road,Majestic,Yes
Atithi Satkar,Casual Dining,3.7,91,400.0,No,No,"South Indian, North Indian, Fast Food, Chinese",New BEL Road,Sanjay Nagar,Yes
Atomic Lab,"Casual Dining, Bar",3.5,53,1800.0,No,No,"Asian, North Indian, Continental",Brigade Road,Lavelle Road,Yes
Atta Galata,Quick Bites,4.1,208,200.0,No,No,"Bakery, Fast Food","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Yes
Atte Maneya Oota,Quick Bites,2.8,40,400.0,No,No,South Indian,Lavelle Road,Majestic,Yes
Attic Lounge,Cafe,4.0,1229,700.0,Yes,Yes,Cafe,"Byresandra,Tavarekere,Madiwala",Koramangala 4th Block,Yes
Atty's Bakery,Bakery,4.0,73,250.0,Yes,No,Bakery,Brigade Road,Frazer Town,Yes
Aubree,"Cafe, Bakery",3.2,5,400.0,Yes,No,"Cafe, Bakery",Residency Road,Shivajinagar,Yes
Aubree Le Chocolatier,Dessert Parlor,2.8,40,300.0,Yes,No,Desserts,"Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,Yes
Auntie Anne's,Dessert Parlor,4.0,24,500.0,No,No,Desserts,Whitefield,Whitefield,Yes
Auntie Fung's,Casual Dining,4.2,577,600.0,Yes,No,"Asian, Chinese",Malleshwaram,New BEL Road,Yes
Aura - Radha Regent,Bar,3.6,116,1200.0,No,Yes,"Continental, American, South Indian, Italian, North Indian, Chinese",Electronic City,Electronic City,Yes
Authentic Aandhra,Delivery,2.8,40,300.0,Yes,No,"Andhra, North Indian",Bannerghatta Road,BTM,Yes
AutoExpress - Hot Dogs,Quick Bites,3.3,5,300.0,Yes,No,Fast Food,"Byresandra,Tavarekere,Madiwala",HSR,Yes
Avanti Indian Barbeque & Grill,Casual Dining,3.4,46,1100.0,No,No,North Indian,Indiranagar,Domlur,Yes
Avista Cafe Pizzeria,Cafe,4.5,506,650.0,Yes,Yes,"Cafe, Italian",Kalyan Nagar,Hennur,Yes
Avon Bar & Kitchen,Casual Dining,3.7,104,700.0,No,No,"Andhra, Chinese, North Indian","Byresandra,Tavarekere,Madiwala",BTM,Yes
Awesome Biryani,"Takeaway, Delivery",2.8,40,500.0,No,No,"Biryani, Fast Food, Mughlai",Kalyan Nagar,Kalyan Nagar,Yes
Awesome Foods,Quick Bites,3.7,23,300.0,Yes,No,"Chinese, North Indian","Byresandra,Tavarekere,Madiwala",BTM,Yes
Axomi - Taste of Assam,Casual Dining,4.0,610,500.0,Yes,No,Assamese,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Yes
Ayda Persian Kitchen,Casual Dining,3.7,39,950.0,No,No,"North Indian, Iranian",Banashankari,Banashankari,Yes
Ayodhya Food Line,Quick Bites,3.4,10,250.0,Yes,No,"South Indian, North Indian, Fast Food, Chinese",Rajajinagar,Nagarbhavi,Yes
Ayodhya Sagara,Quick Bites,3.8,65,200.0,Yes,No,"Chinese, North Indian, South Indian",Rajajinagar,Basaveshwara Nagar,Yes
Ayodhya Upachar,Quick Bites,4.3,734,200.0,Yes,No,"South Indian, North Indian, Chinese, Street Food",Banashankari,Banashankari,Yes
Ayush Reddy Tiffins & Fast Food Center,Quick Bites,,40,300.0,No,No,"South Indian, Fast Food, Chinese",Koramangala 6th Block,BTM,Yes
Azimmo Treat,Casual Dining,3.8,41,700.0,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",HSR,Yes
Azura Restaurant,Casual Dining,2.8,95,500.0,Yes,No,"North Indian, Mughlai, Chinese, Arabian, Kerala",Bellandur,Bellandur,Yes
B & B The Pub,"Casual Dining, Bar",3.6,29,1000.0,No,No,"Asian, Continental",Basavanagudi,Basavanagudi,Yes
B Bhagat Tarachand,Casual Dining,4.2,176,700.0,Yes,Yes,"North Indian, Chinese, Street Food, Beverages",Lavelle Road,City Market,Yes
b CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© - Shangri-La Hotel,"Fine Dining, Bar",4.3,429,3400.0,No,Yes,"North Indian, Italian, Chinese, Japanese",Lavelle Road,Vasanth Nagar,Yes
B.M.W - Bhookh Mitaane Wala,Delivery,3.6,504,500.0,Yes,No,"North Indian, South Indian, Chinese",Koramangala 6th Block,Koramangala 1st Block,Yes
B.M.W Bhookh Mitaane Wala,Quick Bites,3.5,8,500.0,Yes,No,"North Indian, South Indian, Chinese",Bannerghatta Road,JP Nagar,Yes
B1,Pub,3.9,123,1100.0,Yes,Yes,"Continental, Burger, Italian, Pizza, North Indian, Salad",New BEL Road,New BEL Road,Yes
B2D Indori Dhaba,Quick Bites,3.3,4,100.0,No,No,North Indian,Koramangala 5th Block,BTM,Yes
B52 - Sports Bar,Bar,3.5,107,1200.0,Yes,Yes,"Continental, American, Chinese, Finger Food",Malleshwaram,Yeshwantpur,Yes
Baahubelly,Casual Dining,3.7,68,500.0,No,No,"South Indian, North Indian",Lavelle Road,Brigade Road,Yes
Baar Union,"Bar, Pub",4.6,634,850.0,No,Yes,"Continental, Finger Food, Asian, Chinese",HSR,HSR,Yes
Baba Bhature,"Takeaway, Delivery",3.7,22,200.0,Yes,No,North Indian,Marathahalli,Marathahalli,Yes
Baba Chatkora,Casual Dining,2.8,40,1000.0,No,No,North Indian,"Byresandra,Tavarekere,Madiwala",JP Nagar,Yes
Baba Da Dhaba,Casual Dining,3.6,32,650.0,No,Yes,North Indian,Bellandur,Sarjapur Road,Yes
Baba Fattoosh,Delivery,3.6,14,300.0,No,No,North Indian,Brookefield,Whitefield,Yes
Baba Ka Dhaba,Quick Bites,3.7,194,400.0,Yes,No,North Indian,Bannerghatta Road,BTM,Yes
BabaYaga's,"Bar, Casual Dining",4.0,241,1500.0,No,Yes,"American, Finger Food",MG Road,Indiranagar,Yes
Babu Moshai,Quick Bites,3.0,43,500.0,Yes,No,"Fast Food, Bengali",Bannerghatta Road,Bannerghatta Road,Yes
Bachelor's Special Biriyani,Quick Bites,3.3,6,250.0,No,No,"Biryani, North Indian, South Indian",Electronic City,Electronic City,Yes
Bada Bing Burgers,Delivery,3.5,13,300.0,Yes,No,"Burger, Desserts",Frazer Town,Frazer Town,Yes
Bademiyan Kebabs,Casual Dining,3.8,86,600.0,Yes,No,"Kebab, Hyderabadi, Biryani, Charcoal Chicken",Malleshwaram,Malleshwaram,Yes
Bageecha,Casual Dining,2.1,479,650.0,Yes,No,"North Indian, Chinese",Marathahalli,Marathahalli,Yes
Bahar Cafe,Casual Dining,4.0,903,750.0,Yes,Yes,"Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian",Bellandur,Marathahalli,Yes
Baisakhi,Casual Dining,3.8,527,500.0,Yes,No,North Indian,Banashankari,Basavanagudi,Yes
Baithak,"Casual Dining, Bar",4.2,1383,1100.0,No,No,"Continental, North Indian, Mughlai",HSR,HSR,Yes
Bajji House,Quick Bites,3.5,7,100.0,Yes,No,Street Food,"Byresandra,Tavarekere,Madiwala",HSR,Yes
Bake a Smile,"Takeaway, Delivery",3.4,9,400.0,No,No,"Bakery, Desserts",Indiranagar,Old Airport Road,Yes
Bake Addiction,Bakery,4.0,88,500.0,Yes,No,"Bakery, Desserts",Bannerghatta Road,JP Nagar,Yes
Bake and Fry,"Takeaway, Delivery",3.1,9,400.0,Yes,No,"Fast Food, Sandwich",Frazer Town,RT Nagar,Yes
Bake and Juice,Quick Bites,3.5,15,400.0,Yes,No,Fast Food,Jayanagar,BTM,Yes
Bake Delite,"Bakery, Quick Bites",3.7,18,400.0,Yes,No,"Bakery, Fast Food",JP Nagar,Kumaraswamy Layout,Yes
Bake Land,Bakery,3.2,15,150.0,No,No,Bakery,Koramangala 7th Block,Wilson Garden,Yes
Bake N Joy,Dessert Parlor,3.5,6,500.0,No,No,"Bakery, Beverages",Kalyan Nagar,Kammanahalli,Yes
Bake The Cake,"Bakery, Beverage Shop",3.2,4,250.0,Yes,No,"Bakery, Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",Bommanahalli,Yes
Bake-ooh,"Takeaway, Delivery",3.7,17,350.0,No,No,Bakery,Bannerghatta Road,Bannerghatta Road,Yes
Baker Ree,Delivery,3.7,22,200.0,No,No,"Bakery, Desserts",Frazer Town,Frazer Town,Yes
Bakers 77,"Bakery, Quick Bites",2.8,40,400.0,No,No,"Bakery, Fast Food",Brigade Road,MG Road,Yes
Baker's Cafe,Bakery,3.5,8,200.0,Yes,No,"Bakery, Desserts",Bellandur,Marathahalli,Yes
Bakers Day,Bakery,3.9,48,200.0,No,No,"Bakery, Desserts",Basavanagudi,Basavanagudi,Yes
Baker's Glove,"Bakery, Quick Bites",3.3,7,550.0,Yes,No,"Desserts, Bakery",Basavanagudi,Jayanagar,Yes
Baker's Home,"Bakery, Dessert Parlor",3.9,179,300.0,Yes,No,"Bakery, Desserts",Sarjapur Road,Bellandur,Yes
Bakers Paradise,"Bakery, Dessert Parlor",3.0,8,100.0,No,No,"Bakery, Desserts, Beverages",Rajajinagar,Rajajinagar,Yes
Bakers Town,Cafe,3.5,42,600.0,Yes,No,"Cafe, Continental, Fast Food",Jayanagar,BTM,Yes
Bakers77,"Bakery, Quick Bites",3.8,35,,No,No,"Bakery, Fast Food",Rajajinagar,Basaveshwara Nagar,Yes
Bakewalk,Bakery,3.3,4,200.0,No,No,"Bakery, Arabian",Koramangala 7th Block,Wilson Garden,Yes
Bakimo,Casual Dining,3.5,7,850.0,No,No,Continental,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Yes
Bakingo,Bakery,3.4,6,500.0,Yes,No,"Bakery, Desserts",Whitefield,Marathahalli,Yes
Balaji Abhiruchi Multicuisine Restaurant,Casual Dining,3.4,27,550.0,No,No,"South Indian, North Indian, Chinese",Marathahalli,Marathahalli,Yes
Balaji Bombay Vada Pav Gujrati Dalebi,Takeaway,3.8,37,150.0,Yes,No,"Street Food, Sandwich",Bannerghatta Road,JP Nagar,Yes
Balaji Hotel,Quick Bites,2.8,40,300.0,Yes,No,"South Indian, North Indian, Beverages",Marathahalli,Kaggadasapura,Yes
Ballava,Quick Bites,3.3,5,400.0,No,No,"North Indian, South Indian",Bannerghatta Road,Bannerghatta Road,Yes
Balle Balle Dhaba,Quick Bites,3.6,195,500.0,Yes,No,"North Indian, Chinese",Kalyan Nagar,Kalyan Nagar,Yes
Balle-Licious Kitchen,Delivery,3.9,170,400.0,Yes,No,North Indian,HSR,HSR,Yes
Baluchi - The Lalit Ashok Bangalore,Fine Dining,4.0,134,3700.0,No,Yes,"North Indian, Kashmiri, Mughlai",Malleshwaram,Seshadripuram,Yes
Bamboo Heights,Casual Dining,3.7,112,500.0,No,No,"Chinese, Fast Food, Continental","Byresandra,Tavarekere,Madiwala",BTM,Yes
Bamboo Shades,Casual Dining,2.8,48,1000.0,Yes,No,"Charcoal Chicken, Chinese, North Indian, Juices, Desserts, Seafood, South Indian",Electronic City,Electronic City,Yes
Bamey's Restro Cafe,Casual Dining,4.2,532,600.0,Yes,No,"Chinese, Singaporean, Thai, Asian, Nepalese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Yes
Banana Beach Bar,Bar,3.7,1014,1300.0,Yes,Yes,"Continental, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,Yes
Banana Leaf,Casual Dining,3.5,12,500.0,No,No,Andhra,Indiranagar,Domlur,Yes
Banaras Sweet House,"Sweet Shop, Quick Bites",3.7,24,100.0,No,No,"Mithai, Fast Food",Lavelle Road,Majestic,Yes
Banarasi Chat Centre,Quick Bites,3.2,6,150.0,No,No,Street Food,Kalyan Nagar,Kammanahalli,Yes
Banarasi Tadka,Quick Bites,2.7,16,200.0,No,No,North Indian,Indiranagar,Jeevan Bhima Nagar,Yes
Banashankari Biriyani,Quick Bites,2.8,40,300.0,No,No,"Biryani, South Indian",Malleshwaram,Rajajinagar,Yes
Banashankari Donne Biriyani,Quick Bites,3.3,4,300.0,No,No,"South Indian, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Yes
Banashankari Nati Style,Quick Bites,3.6,8,300.0,Yes,No,South Indian,Bannerghatta Road,JP Nagar,Yes
Banashankari Restaurant,Quick Bites,3.6,24,400.0,Yes,No,South Indian,New BEL Road,New BEL Road,Yes
BanBay,Cafe,4.0,44,1100.0,No,No,"Cafe, Modern Indian, Pizza, Burger, Desserts",Church Street,Vasanth Nagar,Yes
Banchharam,Quick Bites,3.9,65,200.0,No,No,"Street Food, Mithai",Indiranagar,Ulsoor,Yes
Bang - The Ritz-Carlton,Lounge,4.2,477,3000.0,No,Yes,Finger Food,Lavelle Road,Residency Road,Yes
Bangali Babu Restaurant,Sweet Shop,3.2,4,250.0,No,No,"Mithai, Desserts, Fast Food","Byresandra,Tavarekere,Madiwala",BTM,Yes
Bangaliana,Casual Dining,3.0,61,600.0,Yes,No,Bengali,Electronic City,Electronic City,Yes
Bangalir Rannaghar,Quick Bites,2.9,58,250.0,No,No,"Bengali, North Indian, Chinese",Bannerghatta Road,Bannerghatta Road,Yes
Bangalore Agarwal Bhavan,Quick Bites,3.0,5,500.0,No,No,"Mithai, Street Food",Brookefield,Whitefield,Yes
BANGALORE BOX,"Casual Dining, Bar",4.1,612,1500.0,Yes,Yes,"Asian, Continental, Finger Food",Bannerghatta Road,BTM,Yes
Bangalore Brew Works,"Microbrewery, Lounge",4.2,2212,1700.0,No,Yes,"Continental, Italian",Brigade Road,Residency Road,Yes
Bangalore Bytes,Quick Bites,3.5,121,300.0,Yes,No,"Fast Food, South Indian, Biryani",Brigade Road,Brigade Road,Yes
Bangalore Cafe,Quick Bites,3.7,197,400.0,Yes,No,"South Indian, Fast Food","Byresandra,Tavarekere,Madiwala",HSR,Yes
Bangalore Cakes,Bakery,2.9,17,250.0,Yes,No,Bakery,Electronic City,Electronic City,Yes
Bangalore Donne Biriyani,Quick Bites,3.2,4,300.0,Yes,No,"South Indian, Biryani",Banashankari,Kumaraswamy Layout,Yes
Bangalore Durbar Fast Food,"Takeaway, Delivery",3.6,18,600.0,Yes,No,"North Indian, South Indian, Chinese, Kerala",Indiranagar,Thippasandra,Yes
Bangalore Express,"Takeaway, Delivery",2.8,40,300.0,No,No,"Bengali, Chinese, Seafood",Indiranagar,Thippasandra,Yes
Bangalore Food Cafe,Quick Bites,2.8,40,300.0,No,No,"North Indian, South Indian, Chinese, Fast Food",Brookefield,Brookefield,Yes
Bangalore Grill House,Quick Bites,3.2,6,300.0,No,No,"Arabian, BBQ, Mexican",Old Airport Road,Thippasandra,Yes
Bangalore Mandarin,Casual Dining,4.2,764,1100.0,Yes,No,"Chinese, Seafood",Brookefield,Whitefield,Yes
Bangalore Masala House,Cafe,4.1,257,500.0,Yes,No,"Cafe, Continental, Fast Food, Pizza, Italian, Burger, Chinese, Desserts",Lavelle Road,Vasanth Nagar,Yes
Bangalore Pantry,Quick Bites,2.8,40,400.0,Yes,No,"Chinese, North Indian, Biryani, Arabian",Bannerghatta Road,Bannerghatta Road,Yes
Bangalore Pub Exchange,"Pub, Casual Dining",4.1,207,1000.0,No,Yes,"Continental, Finger Food, Pizza, North Indian",Indiranagar,MG Road,Yes
Bangalore Shadi Biriyani,Quick Bites,3.5,57,150.0,Yes,No,"Chinese, North Indian",Brigade Road,Vasanth Nagar,Yes
Bangalore Star Biriyani,Quick Bites,3.4,7,300.0,No,No,"Biryani, Chinese, North Indian","Byresandra,Tavarekere,Madiwala",BTM,Yes
Bangalore Vibes,Quick Bites,3.2,4,300.0,Yes,No,"North Indian, Chinese",Kalyan Nagar,Hennur,Yes
Bangarpet Chat Express,Quick Bites,3.3,6,100.0,Yes,No,"Street Food, Fast Food",Banashankari,Basavanagudi,Yes
Bangarpet Chats,Quick Bites,2.8,40,80.0,No,No,Street Food,Kalyan Nagar,Kammanahalli,Yes
Bangarpet Chats Adda,Quick Bites,2.8,40,200.0,Yes,No,"Street Food, Sandwich, Beverages",Electronic City,Electronic City,Yes
Bangarpet Chats Corner,Quick Bites,3.3,7,150.0,No,No,Street Food,Malleshwaram,Rajajinagar,Yes
Banjara Melting Pot,Casual Dining,4.2,474,1700.0,Yes,Yes,"North Indian, Chinese, Seafood",Brigade Road,Cunningham Road,Yes
Bansuri Sweets,Quick Bites,3.8,110,200.0,No,No,"Street Food, North Indian","Byresandra,Tavarekere,Madiwala",BTM,Yes
Bao & Grills,Food Court,2.8,40,300.0,No,No,"Chinese, Asian",Bannerghatta Road,Bannerghatta Road,Yes
Bao and Rolls,Quick Bites,3.6,19,250.0,No,No,"Rolls, Kebab, Fast Food",Bannerghatta Road,Bannerghatta Road,Yes
BAR BAR,"Bar, Casual Dining",4.1,1003,1500.0,No,Yes,"Continental, North Indian, Italian",Whitefield,Whitefield,Yes
Bar UNO - JW Marriott Bengaluru,Lounge,3.9,72,2500.0,No,No,Spanish,Brigade Road,Lavelle Road,Yes
Barbecoa,Casual Dining,4.3,1303,1000.0,No,No,"North Indian, Continental, Chettinad, Andhra, Bengali",Bellandur,Marathahalli,Yes
Barbecue by Punjab Grill,Casual Dining,4.7,1316,1300.0,No,Yes,BBQ,Malleshwaram,Malleshwaram,Yes
Barbecued - By The Orchard,Casual Dining,4.3,592,1200.0,No,Yes,North Indian,Malleshwaram,Sadashiv Nagar,Yes
Barbeque Delight,Casual Dining,3.4,173,650.0,Yes,No,"Arabian, Kerala, Biryani, South Indian, Chinese, BBQ",Electronic City,Electronic City,Yes
Barbeque Nation,Casual Dining,3.8,32,1600.0,No,No,"North Indian, European, Mediterranean, BBQ, Kebab",Brookefield,Whitefield,Yes
Barbeque Station,Casual Dining,2.8,151,700.0,Yes,No,"North Indian, Chinese, BBQ","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Yes
Barcode,Bar,3.8,169,1300.0,No,Yes,"South Indian, North Indian","Byresandra,Tavarekere,Madiwala",Koramangala 4th Block,Yes
Barebones - The Balcony Bar,"Bar, Casual Dining",4.2,2445,1500.0,No,Yes,"Chinese, Continental, Finger Food, Italian",Indiranagar,Indiranagar,Yes
Barista,Cafe,3.2,11,300.0,No,No,Cafe,Indiranagar,CV Raman Nagar,Yes
Barkaas,Casual Dining,4.2,198,1000.0,Yes,Yes,"Arabian, Biryani, Desserts, Beverages, Salad",Marathahalli,Marathahalli,Yes
Barkat,Quick Bites,3.4,5,250.0,No,No,Kerala,"Byresandra,Tavarekere,Madiwala",BTM,Yes
Barley & Grapes Cafe,Cafe,4.2,842,1000.0,No,No,"Cafe, Italian, Continental",Whitefield,Whitefield,Yes
Barleyz,"Lounge, Microbrewery",3.7,4650,2000.0,No,No,"North Indian, Continental, Chinese",Koramangala 4th Block,Koramangala 6th Block,Yes
Basava Bhavana (B2),Quick Bites,2.8,40,200.0,No,No,South Indian,HSR,HSR,Yes
Basavanagudi Mylari,Quick Bites,4.0,52,300.0,No,No,South Indian,Banashankari,Basavanagudi,Yes
Basaveshwara Kanawali,Quick Bites,3.5,13,250.0,No,No,South Indian,Brookefield,Whitefield,Yes
Basaveshwara Khanavali,Quick Bites,3.3,11,150.0,No,No,South Indian,Bellandur,Bellandur,Yes
Basaveshwarnagar Dosa Corner,Quick Bites,3.8,75,200.0,Yes,No,South Indian,Malleshwaram,Basaveshwara Nagar,Yes
Basawa Hotel,Quick Bites,3.4,8,250.0,No,No,South Indian,"Byresandra,Tavarekere,Madiwala",BTM,Yes
Based On A True Story- Bistro,"Cafe, Quick Bites",4.3,496,800.0,Yes,Yes,"Cafe, Burger, Italian, Desserts",Kalyan Nagar,Kammanahalli,Yes
Basil Joint,"Takeaway, Delivery",3.5,24,300.0,Yes,No,"Fast Food, Beverages",Malleshwaram,New BEL Road,Yes
Baskin Robbins,Dessert Parlor,2.9,20,250.0,Yes,No,"Ice Cream, Desserts",Malleshwaram,Rajajinagar,Yes
Basmati Bar & Restaurant,Casual Dining,3.8,345,800.0,Yes,Yes,"Biryani, Andhra, North Indian, Chinese",Marathahalli,Marathahalli,Yes
Basmati Delights,Delivery,4.0,869,500.0,Yes,No,"Biryani, Chinese, Mughlai, Fast Food, Kebab",Bannerghatta Road,BTM,Yes
Basmati Restaurant,Casual Dining,3.8,419,900.0,Yes,No,"Biryani, Andhra, North Indian, Chinese",Bellandur,Bellandur,Yes
Basmati's Briyani Nation,"Takeaway, Delivery",2.8,40,350.0,Yes,No,"Biryani, Fast Food","Byresandra,Tavarekere,Madiwala",HSR,Yes
Basveshwara Khaanavali,Quick Bites,2.8,40,250.0,No,No,South Indian,Bannerghatta Road,Bannerghatta Road,Yes
Bat Chef,Quick Bites,2.6,26,500.0,Yes,No,Fast Food,Indiranagar,Indiranagar,Yes
Bathinda Dine,Casual Dining,3.9,266,950.0,Yes,No,North Indian,Sarjapur Road,Bellandur,Yes
Bathinda Junction,Casual Dining,3.8,367,600.0,Yes,No,North Indian,JP Nagar,BTM,Yes
Bathinda Tandoor,Quick Bites,2.8,40,300.0,Yes,No,North Indian,Bannerghatta Road,BTM,Yes
Batter Splatter,Bakery,3.3,5,350.0,No,No,Bakery,Brigade Road,Lavelle Road,Yes
Bawarchi,Quick Bites,3.0,29,400.0,No,No,"North Indian, Chinese",Electronic City,Electronic City,Yes
Bawarchi Biryani,Quick Bites,3.4,65,350.0,Yes,No,"Biryani, South Indian","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,Yes
Bawarchi Inn,Casual Dining,3.0,140,600.0,Yes,No,"North Indian, Biryani, Andhra, Chinese",Jayanagar,BTM,Yes
Bawarchi Khaana,Quick Bites,3.3,56,600.0,Yes,No,"North Indian, Chinese",Bellandur,Bellandur,Yes
Bawarchi Paradise,Quick Bites,3.5,89,500.0,Yes,No,"North Indian, Biryani",Bannerghatta Road,Bannerghatta Road,Yes
Bawarchi Restaurant,Casual Dining,3.1,4,700.0,No,No,"North Indian, Biryani",Electronic City,Electronic City,Yes
Bay Root,Quick Bites,3.7,24,400.0,No,No,"North Indian, Arabian",Bannerghatta Road,BTM,Yes
Bazaar - Zone By The Park,Casual Dining,4.0,415,1400.0,No,Yes,"Continental, South Indian, North Indian, Asian",Electronic City,Electronic City,Yes
Bazaar- Zone By The Park,Casual Dining,3.8,52,1100.0,No,Yes,"Continental, South Indian, North Indian, Asian",Brigade Road,Infantry Road,Yes
BBCUE Whitefield,Fine Dining,3.5,8,2400.0,No,No,Continental,Whitefield,Whitefield,Yes
BBQ King,Casual Dining,3.4,6,400.0,No,No,"Fast Food, Chinese, Burger, Hot dogs, Sandwich",Brookefield,Marathahalli,Yes
BBQ Ride 46,Food Truck,3.4,7,200.0,Yes,No,BBQ,Bannerghatta Road,South Bangalore,Yes
BBQ@52,Casual Dining,3.7,41,1500.0,No,Yes,"BBQ, Biryani, Continental",Church Street,MG Road,Yes
BBQ'D - Global Grill & Brewery,"Casual Dining, Microbrewery",4.3,456,1500.0,No,No,"BBQ, North Indian",Brigade Road,Lavelle Road,Yes
BBxR,Delivery,3.5,11,400.0,No,No,"Biryani, Kebab",Brookefield,Marathahalli,Yes
